Disparado?;Jornada;Activity name / Taxonomia;Canal;Data de Disparo;Data Fim;Safra;BU;Parceiro;SIGLA;Segmento;SIGLA;Subgrupos;Base Total;Base Acionável;% Otimização de base;Etapa de aquisição;Ordem de disparo;Perfil de Crédito;Produto;Oferta;Promocional;SIGLA;Oferta 2;Promocional 2;Custo Unitário Oferta;Custo Total da Oferta;Custo unitário do canal;Custo total canal;Taxa de Entrega;Taxa de Abertura ;Taxa de Clique;Taxa de Proposta;Taxa de Aprovação;Taxa de Finalização;Taxa de Conversão;Custo Total Campanha;CAC;Cartões Gerados;Aprovados;Propostas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sim;JOR_AQUISICAO_B2C_SABADO_WPP_A_B;afz_car_vis_pon_wpp_car_aqssabados_b_diario;WhatsApp;05/07/2025;07/07/2025;jul/25;B2C;Proprietaria;PROPRI;Abandonados;ABD;N/A;286;0;0,00%;Meio_de_Funil;1;Mar_aberto;Classic;Padrao;N/A;N/A;Padrao;N/A;R$ 0,00;R$ 0,00;R$ 0,420;R$ 0,00;0%;N/A;N/A;0,00%;0,00%;0,00%;#DIV/0!;R$ 0,00;R$ 0,00;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sim;DISPARO_AQUISICAO_B2C_SERASA_UPGRADE_MEIO_FUNIL_JULHO_200;afz_car_vis_pon_wpp_serasa__pre_aprovados_20251007;WhatsApp;10/07/2025;12/07/2025;jul/25;B2C;Serasa;SERASA;Leads_Parceiros;LP;N/A;100;67;67,00%;Meio_de_Funil;Pontual;Whitelist;Classic;Vibe;Em dobro;DOBRO;Padrao;N/A;R$ 0,00;R$ 0,00;R$ 0,420;R$ 28,14;67%;68,66%;11,94%;0,00%;0,00%;0,00%;0,00%;R$ 28,14;R$ 0,00;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sim;JOR_VC_AQUISICAO_MAISAMIGO_TOMABAMENTO_DM_N_ACIONADOS_JULHO_1;afz_aqs_reg_cart_wpp_disparo_boa_nao_acionados_dm_2_11_07_25;WhatsApp;11/07/2025;13/07/2025;jul/25;Plurix;N/A;N/A;Cartonistas;CT;Ativo;50;47;94,00%;Aquisicao;1;Pre_analisado;Classic;Padrao;N/A;N/A;Padrao;N/A;R$ 0,00;R$ 0,00;R$ 0,420;R$ 19,74;94%;4,24%;2,92%;6,38%;100,00%;66,67%;4,26%;R$ 19,74;R$ 9,87;2;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sim;JOR_AQUISICAO_B2C_SABADO_WPP_A_B;afz_car_vis_pon_wpp_car_aqssabados_a_diario;WhatsApp;12/07/2025;14/07/2025;jul/25;B2C;Proprietaria;PROPRI;Abandonados;ABD;N/A;286;231;80,77%;Meio_de_Funil;2;Mar_aberto;Classic;Padrao;N/A;N/A;Padrao;N/A;R$ 0,00;R$ 0,00;R$ 0,420;R$ 97,02;81%;64,50%;41,61%;7,79%;83,33%;27,78%;2,16%;R$ 97,02;R$ 19,40;5;15;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sim;JOR_AQUISICAO_B2C_SABADO_WPP_A_B;afz_car_vis_pon_wpp_car_aqssabados_b_diario;WhatsApp;12/07/2025;14/07/2025;jul/25;B2C;Proprietaria;PROPRI;Abandonados;ABD;N/A;237;205;86,50%;Meio_de_Funil;2;Mar_aberto;Classic;Padrao;N/A;N/A;Padrao;N/A;R$ 0,00;R$ 0,00;R$ 0,420;R$ 86,10;86%;68,78%;53,90%;8,78%;88,89%;44,44%;3,90%;R$ 86,10;R$ 10,76;8;16;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sim;DISPARO_AQUISICAO_B2C_SERASA_UPGRADE_MEIO_FUNIL_JULHO_200_CRÉDITOS_2;afz_car_vis_pon_wpp_serasa__pre_aprovados_20251407;WhatsApp;14/07/2025;15/07/2025;jul/25;B2C;Serasa;SERASA;Leads_Parceiros;LP;N/A;200;142;71,00%;Meio_de_Funil;Pontual;Whitelist;Classic;Vibe;Em dobro;DOBRO;Padrao;N/A;R$ 0,00;R$ 0,00;R$ 0,420;R$ 59,64;71%;63,38%;10,56%;0,00%;0,00%;0,00%;0,00%;R$ 59,64;R$ 0,00;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sim;JOR_VC_AQUISICAO_MAISAMIGO_TOMABAMENTO_DM_N_ACIONADOS_JULHO_2;afz_aqs_reg_cart_wpp_disparo_boa_nao_acionados_dm_2_11_07_25;WhatsApp;14/07/2025;16/07/2025;jul/25;Plurix;N/A;N/A;Cartonistas;CT;Ativo;100;92;92,00%;Aquisicao;1;Pre_analisado;Classic;Padrao;N/A;N/A;Padrao;N/A;R$ 0,00;R$ 0,00;R$ 0,420;R$ 38,64;92%;18,82%;2,19%;2,17%;0,00%;0,00%;0,00%;R$ 38,64;R$ 0,00;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sim;DISPARO_AQUISICAO_B2C_SERASA_UPGRADE_MEIO_FUNIL_JULHO_200_CRÉDITOS_3;afz_car_vis_pon_wpp_serasa__pre_aprovados_20251507;WhatsApp;15/07/2025;17/07/2025;jul/25;B2C;Serasa;SERASA;Leads_Parceiros;LP;N/A;400;278;69,50%;Meio_de_Funil;Pontual;Whitelist;Classic;Vibe;Em dobro;DOBRO;Padrao;N/A;R$ 0,00;R$ 0,00;R$ 0,420;R$ 116,76;70%;71,22%;5,40%;0,72%;50,00%;50,00%;0,36%;R$ 116,76;R$ 116,76;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sim;JOR_VC_AQUISICAO_MAISAMIGO_TOMABAMENTO_DM_N_ACIONADOS_JULHO_3;afz_aqs_reg_cart_wpp_disparo_boa_nao_acionados_dm_2_15_07_25;WhatsApp;15/07/2025;17/07/2025;jul/25;Plurix;N/A;N/A;Cartonistas;CT;Ativo;200;179;89,50%;Aquisicao;1;Pre_analisado;Classic;Padrao;N/A;N/A;Padrao;N/A;R$ 0,00;R$ 0,00;R$ 0,420;R$ 75,18;90%;N/A;N/A;6,70%;66,67%;58,33%;3,91%;R$ 75,18;R$ 10,74;7;8;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sim;DISPARO_AQUISICAO_B2C_SERASA_UPGRADE_MEIO_FUNIL_JULHO_200_CRÉDITOS_4;afz_car_vis_pon_wpp_serasa__pre_aprovados_20251607;WhatsApp;16/07/2025;16/07/2025;jul/25;B2C;Serasa;SERASA;Leads_Parceiros;LP;N/A;800;563;70,38%;Meio_de_Funil;Pontual;Whitelist;Classic;Vibe;Em dobro;DOBRO;Padrao;N/A;R$ 0,00;R$ 0,00;R$ 0,420;R$ 236,46;70%;68,92%;12,97%;0,53%;100,00%;100,00%;0,53%;R$ 236,46;R$ 78,82;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
